1|What are the terrestrial planets?|Mercury, Venus, Earth, Mars|Jupiter, Saturn, Neptune, Uranus|Earth, Jupiter, and Pluto|Mercury, Venus, Earth, Mars
1|There are how many oceans in the world?|5|4|6|5
1|Planet X is a small, terrestrial planet that has one moon, liquid water, and a thin atmosphere. What is planet X?|Earth|Mars|Earth|Jupiter
1|This map shows what the weather of a specific area has been or could be.|Weather Map|Weather Map|Road Map|Population Map
1|What is the force that keeps all the planets in orbit around the sun?|Gravity|Gravity|Mass|Space Forces
1|What is a habitat?|specific place where an animal lives|how an animal behaves|specific place where an animal lives|a group of the same animal living together
1|Match the correct animal to its habitat.|polar bear - arctic|baracuda - fresh water lake|walrus - desert|polar bear - arctic
1|What kind of climate does Bulgaria have?|Temperate, with cold damp winters and hot dry summers|Tropical, with lots of rain|Desert - very dry and hot|Temperate, with cold damp winters and hot dry summers
1|Which two animals are able to survive in the hot dry environment?|all of the above|coyote and horses|coyote and lizards|all of the above
1|Where is Bulgaria located?|Southeastern Europe|Northern Europe|Southeastern Europe|Western Europe
2|What happens when cold air meets warm air?|It forms a front|It forms a front|It causes a tornado|It creates a monsoon
2|Which of the following would help you to read and understand a map?|All of the above|Map Key|Scale|All of the above
2|What kind of weather does the southern hemisphere have when the northern hemisphere is tilted toward the sun?|Cooler weather|Warmer weather|Cooler weather|Rain
2|What separates the terrestrial planets from the Jovian or gas planets in space?|The Asteroid Belt|Nothing|Comets|The Asteroid Belt
2|The speed of sound in gases depends on what?|density|temperature|air|density
2|Temperature and wind speed are measurements of what substance?|air|air|water|weather
2|Which is the largest ocean in the world ?|Pacific|Pacific|Atlantic|Indian
2|What is the first step in photosynthesis?|Trapping sunlight|Producing sugar|Trapping sunlight|Producing water
2|Which of the following is not a property of a wave?|distance|frequency|wavelength|distance
2|What was the name of the great temple in Rome dedicated to the gods?|Pantheon|Pantheon|Amphitheater|Forum
3|In which habitat do the sloth and red eyed tree frog live?|tropical rainforest|tropical rainforest|woodland/forest|savannah
3|What group of 12 Elder Gods came before the Roman Gods?|Titans|Celtics|Orgres|Titans
3|Does all Jovian or gas planets have rings?|Yes|Yes|No|I dont know
3|" Who wrote ""The Rebel,"" which was published in 1951?"|Albert Camus|Thomas Stearns Eliot|John Galsworthy|Albert Camus
3|The mechanical vibrations that can be interpreted as sound are able to travel through what?|all of the above|solid|liquid|all of the above
3|What are some of Bulgaria's natural resources?|Zinc, coal, timber, and arable land|Bauxite, copper, and gold|Zinc, coal, timber, and arable land|Copper, lead, zinc, and diamonds
3|"Which English writer received the Nobel Prize in Literature in 1907. He was noted for his works of fiction, one being ""The Jungle Book."""|Rudyard Kipling|Rudyard Kipling|Romain Rolland|Giosue Carducci
3|Who was the Goddess of the hunt and the wild animals?|Diana|Hera|Persephone|Diana
3|What ocean surrounds Hawaii?|Pacific|Southern|Indian|Pacific
3|What is the matter called that supports the sound?|medium|medium|plasma|solid
